country,year,life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,co2_per_capita,material_footprint,IEV,MYSI,EYSI,IE,gni_capped,IR,ID,CO2_overshoot,MF_overshoot,IIE,SDI,SDI_level
Cuba,2015,79.55,6.97,11.17,7832.0,2.78,6.752,0.9161538461538461,0.4646666666666667,0.6205555555555555,0.5426111111111112,7832.0,0.6587242862995157,0.6892661051440795,1.5977011494252873,1.0,1.2988505747126435,0.5306739039604861,Élevé (0.5–0.65)
Costa Rica,2015,80.07,8.15,12.01,16174.0,1.578,8.283,0.9241538461538461,0.5433333333333333,0.6672222222222222,0.6052777777777778,16174.0,0.7682679555039684,0.7546355167217812,1.0,1.2180882352941176,1.1090441176470587,0.6804377794481353,Très élevé (>0.65)
Sri Lanka,2015,75.37,8.62,12.1,10876.0,0.873,5.148,0.8518461538461539,0.5746666666666667,0.6722222222222222,0.6234444444444445,10876.0,0.70832201902823,0.7218770300673988,1.0,1.0,1.0,0.7218770300673988,Très élevé (>0.65)
Albania,2015,62.73,9.72,14.16,12444.0,3.908,7.275,0.6573846153846153,0.648,0.7866666666666666,0.7173333333333334,12444.0,0.728666212825409,0.700416540690221,2.245977011494253,1.0698529411764706,1.6579149763353618,0.42246831151644126,Moyen (0.3–0.5)
Armenia,2015,63.84,11.02,14.68,14105.0,4.615,8.723,0.6744615384615386,0.7346666666666667,0.8155555555555556,0.7751111111111111,14105.0,0.747592101030841,0.7311311459711627,2.652298850574713,1.282794117647059,1.967546484110886,0.3715953609612193,Moyen (0.3–0.5)
Georgia,2015,64.82,12.37,16.37,15172.0,5.636,9.634,0.6895384615384614,0.8246666666666667,0.9094444444444445,0.8670555555555556,15172.0,0.7586074292753623,0.7683176985307607,3.239080459770115,1.416764705882353,2.327922582826234,0.33004435121634423,Moyen (0.3–0.5)
Ecuador,2015,66.06,12.61,16.21,17067.0,6.44,11.258,0.7086153846153846,0.8406666666666667,0.9005555555555556,0.8706111111111111,17067.0,0.7763859563306021,0.7824155704071188,3.7011494252873565,1.6555882352941176,2.678368830290737,0.292123908237906,Faible (<0.3)
Tunisia,2015,66.97,13.94,17.5,18234.0,7.002,12.793,0.7226153846153845,0.9293333333333333,0.9722222222222222,0.9507777777777777,18234.0,0.7863769649890632,0.8144648319421183,4.024137931034483,1.8813235294117647,2.9527307302231236,0.27583444152409153,Faible (<0.3)
Moldova,2015,68.1,6.65,10.74,19846.0,7.74,13.85,0.7399999999999999,0.44333333333333336,0.5966666666666667,0.52,19846.0,0.7991735745863364,0.6749817948456789,4.448275862068965,2.036764705882353,3.242520283975659,0.20816578948831824,Faible (<0.3)
Ukraine,2015,69.31,8.19,11.93,21367.0,8.786,15.233,0.7586153846153847,0.5459999999999999,0.6627777777777778,0.6043888888888889,21367.0,0.8103283153218254,0.7188965135781137,5.049425287356321,2.2401470588235295,3.6447861730899254,0.19723969512556006,Faible (<0.3)
